,FINAL_ID,length,ridership,avg_speed,avg_speed_q10,avg_speed_q50,avg_speed_q90,trips,avg_load,avg_load_q10,avg_load_q50,avg_load_q90,service_hours,avg_speed_sd,riders_per_m,riders_per_km,avg_speed_cv,routes_str,stops_str,riders_per_service_hour,service_hour_km,low_inc_riders,rider_norm,equity_norm,reliability_norm,speed_norm,service_norm,final_score,rank,name,extents,comment,priority
1,104311,688.2320901,10890.47757,5.875031358,3.612820459,5.091156104,9.013452921,638,12.55173042,4.62962963,12.25,20.08511021,33.79,2.872845534,15.82384449,15823.84449,0.488992375,"78, 32, 62, 48, 331, 33, 124, 31, 38, 44, 125, 17","SEPTA18451, NJT32533, NA, SEPTA1392, SEPTA10266, SEPTA20659, SEPTA10275, SEPTA10272, SEPTA20660",322.298833,49.09680976,5238.985083,10,10,10,9.801699717,10,9.975212465,1,Market Street,20th to 15th,NA,1st Tier
2,107111,787.8623801,12444.40065,6.001448994,4.052406798,5.416061846,7.664772246,539,16.80201891,6.010148148,16.13333333,27.90779956,32.95,2.921955013,15.79514515,15795.14515,0.486874922,"555, 414, 417, 78, 32, 62, 33, 124, 31, 38, 44, 125, 17","SEPTA8938, SEPTA8939, NJT32531, SEPTA8936, NJT32529, NA, SEPTA8941, SEPTA17842",377.6752853,41.8220248,5315.556884,10,10,10,9.745042493,10,9.968130312,2,JFK Blvd.,20th to 15th,NA,1st Tier
3,104121,917.8547868,15145.37758,6.620099395,5.014004032,6.030050101,8.802589908,1084,8.272566214,2.48202734,6.499999996,16.54357298,90.64,2.637493091,16.50084283,16500.84283,0.398406872,"400, 401, 410, 412, 408, 406, 555, 402, 404, 414, 417, 409, 711, 78, 62, 48, 33, 38, 44, 17","SEPTA10331, SEPTA10338, SEPTA30080, SEPTA32144, NJT27949, NJT32611, SEPTA10341, SEPTA18457, SEPTA21531, SEPTA31178, NJT27950, NJT32610, SEPTA10257, SEPTA10340, SEPTA30081, NJT27951, SEPTA10255, SEPTA10258, SEPTA17833, NJT27952, NJT32609, SEPTA10264, SEPTA30082, NJT27954, SEPTA10263, NJT27955, SEPTA10259, SEPTA10262, NJT27953",167.0937509,98.75200446,4855.009082,10,10,9.715911715,9.575070822,10,9.911372817,3,Market Street,13th to 6th,NA,1st Tier
4,158211,1330.362184,9044.823238,8.234919358,4.152939596,8.209548029,12.47309327,875,7.309876768,1.764285714,5,16.55133598,58.28,3.18308024,6.798767543,6798.767543,0.386534476,"47, 45, 7, 703, 471","SEPTA98, NA, SEPTA18577, SEPTA16496, SEPTA24347, SEPTA16497, SEPTA18578, SEPTA16591, SEPTA999, SEPTA24555, SEPTA1182, SEPTA24556, SEPTA21794, SEPTA24362, SEPTA21792",155.1960061,43.80761923,2298.565636,10,10,9.426380693,8.498583569,10,9.740620533,4,Oregon Avenue,Broad to 4th,NA,2nd Tier
5,101111,1130.005426,8276.27546,4.869757124,3.581876727,4.52453386,6.726531073,351,15.27416394,8,15,22.375,47.24,1.398034439,7.324102409,7324.102409,0.287085044,"9, 21, 42, 12","SEPTA14089, NA, SEPTA14086, SEPTA14084, SEPTA14085, SEPTA14081, SEPTA14080, SEPTA14088, SEPTA14079",175.1963476,41.80510901,2267.834626,10,10,7.001116549,10,10,9.625139569,5,Walnut Street,23rd to Broad,NA,1st Tier
6,102121,986.7786248,6308,7.49617545,3.761166656,7.574547062,11.16428571,439,11.50341686,4,9.666666667,22,18.38,3.068856619,6.392517878,6392.517878,0.409389647,"LUCYGR, 40, 42","NA, SEPTA22233, SEPTA22573, SEPTA30643, SEPTA672, SEPTA674, SEPTA22128, SEPTA20731, SEPTA22232, SEPTA22129, SEPTA22143, SEPTA20734, SEPTA22594",343.1991295,18.62626484,2034.076958,10,10,9.983747634,9.093484419,8.612184332,9.53770009,6,Spruce Street,40th to 33rd,NA,2nd Tier
7,104111,853.6775596,4604.115088,7.353301421,5.722172007,6.870239276,9.722494601,593,5.312287636,1.545729352,3.968253968,9.629590643,31.26,2.085155094,5.393271776,5393.271776,0.2835672,"711, 48, 33, 17","NA, SEPTA10288, SEPTA69, SEPTA7657, SEPTA10329, SEPTA359, SEPTA14913, SEPTA3582, SEPTA10311, SEPTA21318",147.2845518,36.61804114,1874.983354,9.81467408,10,6.915327205,9.235127479,10,9.472475355,7,Market Street,6th to Front,OCS project,Coordinate
8,113112,1546.389609,7752.045705,8.078949728,5.332596491,7.085922914,12.87744193,420,10.00522588,2.997565657,7.371049784,21.15230769,73.8,3.652255109,5.012996506,5012.996506,0.452070533,"32, 701, 4, 27","SEPTA5281, SEPTA15190, SEPTA5233, SEPTA15189, SEPTA5166, SEPTA15196, SEPTA15195, SEPTA5135, SEPTA15192, NA, SEPTA5195, SEPTA15194, SEPTA5152, SEPTA15193, SEPTA148, SEPTA5150, SEPTA5318, SEPTA6115, SEPTA15185, SEPTA20414, SEPTA15186, SEPTA1282, SEPTA15941, SEPTA32140, SEPTA5229, SEPTA15188, SEPTA1283, SEPTA15191, SEPTA32139, SEPTA14996",105.0412697,47.72406616,1568.369053,9.122649276,9.299837379,10,8.640226629,10,9.435649992,8,Broad Street,City Hall to Washington,NA,Hold
9,169111,1152.458465,11436.18981,9.371328857,6.334496995,9.41530053,12.03906846,656,9.846999739,3.833333333,9.00625,16.28267045,44.91,2.418812355,9.923298896,9923.298896,0.258107723,"801, 802, 53, 56, 2","NA, SEPTA18212, SEPTA18213, SEPTA18164, SEPTA18214, SEPTA18163, SEPTA18215, SEPTA18162, SEPTA18216, SEPTA17037, SEPTA18211, SEPTA17038, SEPTA18161, SEPTA18217, SEPTA18208, SEPTA1343, SEPTA21260, SEPTA32424",254.6468451,38.96886644,3431.396907,10,10,6.294449291,7.252124646,10,9.193321742,9,Erie Avenue,Broad to Hunting Park,NA,1st Tier
10,123111,1452.606447,8944,8.755014269,7.013860001,8.366975951,10.82539884,332,15.43298193,7,15.25,23.9875,32.64,1.923081545,6.157207975,6157.207975,0.219654873,"WPA, 52","SEPTA21737, NA, SEPTA21708, SEPTA777, SEPTA21705, SEPTA21740, SEPTA771, SEPTA21707, SEPTA21738, SEPTA21739, SEPTA21706, SEPTA671, SEPTA21704, SEPTA21741, SEPTA21703, SEPTA21742, SEPTA21743, SEPTA3574, SEPTA21702, SEPTA779, SEPTA2450",274.0196078,22.46995397,2312.271233,10,10,5.356703163,8.158640227,10,9.189417924,10,52nd Street,Market to Baltimore,NA,1st Tier
