SEGID,Stop_ID
1,0
2,0
3,30509
3,20432
4,20849
4,20849
5,0
6,31149
6,20264
6,2109
6,20212
7,20210
8,0
9,20266
10,0
11,25020
11,24985
11,25021
11,2113
11,24983
11,24984
11,2122
11,25022
12,31536
12,31873
13,29907
13,31873
13,29908
14,0
15,29909
15,31528
15,29906
15,31535
16,24994
16,25009
16,24995
16,30786
16,2112
16,25010
17,24992
17,24993
17,24991
17,25014
17,25013
17,31529
18,24990
18,31530
18,29905
18,29928
18,29910
18,25016
19,24986
19,24987
19,25023
19,25017
19,24989
19,25019
19,24988
19,25018
20,25024
20,24976
20,31149
20,2113
20,2109
20,24978
20,25027
21,30381
21,26292
21,31910
21,26289
21,20269
21,26470
21,26469
21,26291
21,26472
21,31919
22,31918
22,26296
22,15267
22,26294
22,31149
22,31050
22,31912
22,31911
22,2109
22,31051
22,31917
23,30381
23,20209
23,20269
23,20267
23,20207
24,25185
25,2113
26,2192
26,2113
27,2192
28,25185
28,25183
28,25331
29,25185
29,25183
29,32310
29,31680
29,31474
29,31474
29,25331
30,25183
30,25331
31,25333
32,25333
33,32290
33,31573
33,20280
33,30357
33,20402
33,20196
33,29904
34,30381
34,20269
35,20204
35,20271
35,31534
35,29927
35,29923
35,20272
35,20205
35,20274
35,31531
35,20202
36,20199
36,31152
36,30357
36,31674
36,20275
36,20277
36,32289
36,20201
36,31151
36,32288
36,32287
37,30383
38,24964
39,24871
40,24871
40,24964
41,14785
41,24871
41,14785
41,30383
42,0
43,20417
43,20417
44,24963
44,24964
44,30382
44,24874
44,24873
45,24961
45,24961
46,2215
46,2215
46,30328
46,30328
47,30328
47,25320
47,30328
47,25320
48,31889
48,30593
48,29929
48,30593
48,31889
48,29929
49,25135
49,25135
50,30359
50,30359
50,30359
50,30359
50,19959
50,19959
50,19959
51,25344
51,25345
51,25167
51,25166
51,25347
51,30355
52,25181
52,25180
52,25333
52,25334
53,25173
53,31886
53,25338
53,25177
53,25335
53,25336
53,25179
53,31887
53,32305
54,29951
54,31884
54,31885
54,25341
54,25171
54,25168
54,25342
54,25340
54,31882
54,31883
55,25348
55,25347
55,26497
55,30355
56,30328
56,30328
57,25199
57,25185
57,25327
57,31888
57,2121
57,25325
