Installation Name,Stop ID,Site,Asset Installed (F),Product Name,Council District,Project Type,Project Planning,Installation Status,Site Design Status,Site Design,Install Completed (A),Shelter Size,Power Source,Power AP ID
City Av & 47th St - FS NE,6237,City Av & 47th St - FS NE,05/10/2021,Static Bus Shelter,4,New Design & Install,Philly Bus Shelter - Static - FY6,Live,Completed,City Av & 47th St - FS NE,05/10/2021,Standard,Solar,
Parkside Av & 40th St SW,635,Parkside Av & 40th St SW,04/12/2021,Static Bus Shelter,3,New Design & Install,Philly Bus Shelter - Static - FY6,Live,Completed,Parkside Av & 40th St SW,04/22/2021,Standard,Solar,
Frankford Av & Bridge St - FS NE,30388,Frankford Av & Bridge St - FS NE,04/12/2021,Static Bus Shelter,7,New Design & Install,Philly Bus Shelter - Static - FY6,Live,Completed,Frankford Av & Bridge St - FS NE,04/20/2021,Standard,Solar,
29th St & Cecil B Moore Av NW,2887,29th St & Cecil B Moore Av NW,,Static Bus Shelter,5,New Design & Install,Philly Bus Shelter - Static - FY6,Live,Completed,29th St & Cecil B Moore Av NW,04/05/2021,Standard,PECO Wood Pole,
Spring Garden St & 8th St - FS,18439,Spring Garden St & 8th St - FS - Shelter 282,,Static Bus Shelter,1,Refresh D&I,Philly Bus Shelter - Static - FY6,Live,Completed,Spring Garden St & 8th St - FS,03/30/2021,Standard,Solar,
7th St & Girard Av SE,737,7th St & Girard Av SE,,Static Bus Shelter,5,New Design & Install,Philly Bus Shelter - Static - FY6,Live,Completed,7th St & Girard Av SE,03/26/2021,Standard,Solar,
Rising Sun Av & Levick St NE,16726,Rising Sun Av & Levick St NE,,Static Bus Shelter,9,New Design & Install,Philly Bus Shelter - Static - FY6,Live,Completed,Rising Sun Av & Levick St NE,03/23/2021,Standard,Solar,
Market St & Schuylkill Av SW,21529,Market St & Schuylkill Av SW,,Static Bus Shelter,3,Refresh D&I,Philly Bus Shelter - Static - FY6,Live,Completed,Market St & Schuylkill Av SW,03/22/2021,Small,Solar,
Germantown & Armat Ave SE,15655,Germantown & Armat Ave SE,,Static Bus Shelter,,New Design & Install,Philly Bus Shelter - Static - FY6,Pending Placement Approval,Pending Placement Approval,Germantown & Armat Ave SE,03/19/2021,Standard,City Lighting,
Lehigh Av & Germantown Av - FS SE,9378,Lehigh Av & Germantown Av - FS SE,,Static Bus Shelter,5,Refresh D&I,Philly Bus Shelter - Static - FY6,Live,Completed,Lehigh Av & Germantown Av - FS SE,03/17/2021,Standard,Solar,
Lehigh Av & Broad St SW,9375,Lehigh Av & Broad St SW,,Static Bus Shelter,5,New Design & Install,Philly Bus Shelter - Static - FY6,Live,Completed,Lehigh Av & Broad St SW,03/15/2021,High Rider,Solar,
Cottman Av & Whitaker Av - FS NE,1027,Cottman Av & Whitaker Av - FS NE,,Static Bus Shelter,10,New Design & Install,Philly Bus Shelter - Static - FY6,Live,Completed,Cottman Av & Whitaker Av - FS NE,03/12/2021,Standard,Solar,
Chestnut St & 9th St SW,6114,Chestnut St & 9th St SW,,Static Bus Shelter,1,Refresh D&I,Philly Bus Shelter - Static - FY6,Live,Completed,Chestnut St & 9th St SW,03/08/2021,Small,City Lighting,
Frankford Av & Knorr St SE,21824,Frankford Av & Knorr St - Shelter 779,,Static Bus Shelter,6,Refresh D&I,Philly Bus Shelter - Static - FY6,Live,Completed,Frankford Av & Knorr St SE,03/04/2021,Standard,Solar,
Chelten Av & Greene St FS SW,15663,Chelten Av & Greene St FS SW,,Static Bus Shelter,8,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Chelten Av & Greene St FS SW,03/02/2021,High Rider,City Lighting,413475
Market St & 11th St NE,10258,Market St & 11th St NE,,Static Bus Shelter,1,Refresh D&I,Philly Bus Shelter - Static - FY6,Live,Completed,Market St & 11th St NE,02/24/2021,High Rider,City Lighting,
Rising Sun Av & Adams Av NE,16736,Rising Sun Av & Adams Av NE,,Static Bus Shelter,9,New Design & Install,Philly Bus Shelter - Static - FY5,Live,Completed,Rising Sun Av & Adams Av NE,01/08/2021,Standard,Solar,
Bustleton Av & Tyson Av,23289,Bustleton Av & Tyson Av - Shelter 79,,Static Bus Shelter,6,Refresh D&I,Philly Bus Shelter - Static - FY6,Live,Completed,Bustleton Av & Tyson Av,01/05/2021,Small,Solar,
Castor Av & Everett Av,20449,Castor Av & Everett Av - Shelter 88,,Static Bus Shelter,7,Refresh D&I,Philly Bus Shelter - Static - FY6,Live,Completed,Castor Av & Everett Av,01/05/2021,Standard,Solar,
Olney Av & Ogontz Av SW,15792,Olney Av & Ogontz Av SW,,Static Bus Shelter,8,New Design & Install,Philly Bus Shelter - Static - FY5,Live,Completed,Olney Av & Ogontz Av SW,12/28/2020,Standard,PECO Wood Pole,
Lansdowne Av & 75th St - FS,21484,Lansdowne Av & 75th St - FS - Shelter 2018,,Static Bus Shelter,4,Refresh D&I,Philly Bus Shelter - Static - FY6,Live,Completed,Lansdowne Av & 75th St - FS,12/21/2020,Standard,PECO Wood Pole,
