stop_id,stop_name,FALSE,TRUE,over_2,under_2,total,pct_over_2,stop_lat,stop_lon,ons,offs,Project.Planning
NJT27947,BROAD ST AT CHERRY ST,270,NA,0,270,270,0,NA,NA,NA,NA,NA
NJT27949,MARKET ST AT 7TH ST,251,NA,0,251,251,0,NA,NA,NA,NA,NA
NJT27950,MARKET ST AT 8TH ST,292,NA,0,292,292,0,NA,NA,NA,NA,NA
NJT27953,MARKET ST AT 11TH ST,292,NA,0,292,292,0,NA,NA,NA,NA,NA
SEPTA1006,Frankford Av & Princeton Av,153,NA,0,153,153,0,40.034845,-75.044664,198.66754266545286,53.28534960481554,NA
SEPTA1007,Frankford Av & Knorr St,170,NA,0,170,170,0,40.032383,-75.050954,131.58062852180498,116.1101151514464,NA
SEPTA10272,Market St & 18th St,613,NA,0,613,613,0,39.953119,-75.170173,321.0780997758532,911.9224230632277,NA
SEPTA10275,Market St & 19th St,443,NA,0,443,443,0,39.953319,-75.17172,254.9681039209414,480.40949141168517,NA
SEPTA10283,Market St & 23rd St,274,NA,0,274,274,0,39.95409,-75.177929,120.66873419837816,133.5534431627311,NA
SEPTA107,Arch St & 22nd St,80,NA,0,80,80,0,39.95605,-75.176079,131.66218418544332,74.28221187592531,NA
SEPTA1081,Frankford Av & Unruh Av,172,NA,0,172,172,0,40.031871,-75.05292,104.70832917512483,43.06885666792788,NA
SEPTA1106,Frankford Av & Magee Av,160,NA,0,160,160,0,40.03069,-75.054841,149.42914944103023,69.69034347145802,NA
SEPTA11128,Ogontz Av & Godfrey Av,96,NA,0,96,96,0,40.048567,-75.150896,121.93155780452885,54.52211242318856,NA
SEPTA11138,Ogontz Av & Washington Ln,104,NA,0,104,104,0,40.068867,-75.156932,82.40732566837568,11.842604668941727,NA
SEPTA1138,Frankford Av & Levick St,158,NA,0,158,158,0,40.028593,-75.057878,170.17825398715487,71.69024876911874,NA
SEPTA1145,Frankford Av & Hawthorne St,169,NA,0,169,169,0,40.027631,-75.061855,109.10145103864143,61.969283069012164,NA
SEPTA1179,Germantown Av & Lehigh Av,107,NA,0,107,107,0,39.993198,-75.147956,155.16817904317907,299.9429459429459,NA
SEPTA1180,12th St & Girard Av,114,NA,0,114,114,0,39.971126,-75.155792,99.73727938727937,204.36925019425016,NA
SEPTA1183,11th St & Washington Av,109,NA,0,109,109,0,39.937036,-75.161436,122.43424908424909,58.50238095238094,NA
SEPTA1189,Germantown Av & Butler St,116,NA,0,116,116,0,40.010796,-75.151291,122.06388627712155,46.55712179976886,NA
SEPTA1206,19th St & Girard Av,108,NA,0,108,108,0,39.972543,-75.167528,98.98737022969861,190.61747646591593,NA
SEPTA12274,Ridge Av & Green Ln,130,NA,0,130,130,0,40.03411,-75.215822,130.01150571994225,168.79715782153863,NA
SEPTA12307,Ridge Av & Master St,184,NA,0,184,184,0,39.975848,-75.168709,115.889505025466,68.27938097022887,NA
SEPTA14919,19th St & Cecil B Moore Av,112,NA,0,112,112,0,39.979608,-75.165813,109.55925708100227,114.71356949473659,NA
SEPTA14920,20th St & Spring Garden St,173,NA,0,173,173,0,39.963491,-75.170904,92.34597138562076,99.9771068646067,NA
SEPTA14927,23rd St & Fairmount Av,141,NA,0,141,141,0,39.967454,-75.175437,110.7331768957811,32.99811298420209,NA
SEPTA14935,Arch St & 18th St,90,NA,0,90,90,0,39.955242,-75.169445,102.41856924506908,37.694418164561384,NA
SEPTA14996,Broad St & South St,202,NA,0,202,202,0,39.943524,-75.165426,113.03508684298158,51.07143083524662,NA
SEPTA15011,Allegheny Av & 25th St,85,NA,0,85,85,0,40.003841,-75.170793,146.79579010658918,17.064203522582748,NA
