"","trip_id","route_id","direction_id","pattern_id","source","run","trip_begin","trip_end","distance_traveled","n_stops","avg_stop_spacing_ft","dwell_sum","dwell_est","dwell_hybrid","ons_total","offs_total","max_entry_load","avg_speed","avg_load","max_load","ons_offs","ridership"
"1","SEPTA30012710","18","Westbound","W4","uta",530s (~8.83 minutes),"03:18:47","03:27:37",2.3295652173913,21,585.719254658385,0s,101.434782608696s (~1.69 minutes),101.434782608696s (~1.69 minutes),7.47826086956522,4.30434782608696,2.39130434782609,16.4409728229755,4.95445134575569,6.65217391304348,11.7826086956522,9.86956521739131
"2","SEPTA30012750","18","Eastbound","E09","uta",631s (~10.52 minutes),"04:05:43","04:16:14",2.40179487179487,23,551.36856187291,0s,143.428632478632s (~2.39 minutes),143.428632478632s (~2.39 minutes),8.19658119658119,13.6153846153846,15.5555555555556,14.6299381971274,12.6135265700483,16.8148148148148,21.8119658119658,23.7521367521368
"3","SEPTA30012900","18","Westbound","W1","uta",667s (~11.12 minutes),"05:18:21","05:29:28",2.31037037037037,21,580.893121693122,0s,207.037037037037s (~3.45 minutes),207.037037037037s (~3.45 minutes),17.7037037037037,48.037037037037,37.8888888888889,12.8166086662685,24.9276895943563,46.3703703703704,65.7407407407407,55.5925925925926
"4","SEPTA30013008","18","Eastbound","E06","uta",734s (~12.23 minutes),"06:30:25","06:42:39",2.42526315789474,23,556.756064073227,0s,180.594736842105s (~3.01 minutes),180.594736842105s (~3.01 minutes),10,24,26.4210526315789,12.8772388275284,18.2128146453089,27.7368421052632,34,36.4210526315789
"5","SEPTA30013114","18","Westbound","W1","uta",863s (~14.38 minutes),"07:35:55","07:50:18",2.33285714285714,21,586.54693877551,0s,240.546428571429s (~4.01 minutes),240.546428571429s (~4.01 minutes),25.7857142857143,45.1785714285715,40.6785714285714,10.131424320532,33.4455782312925,43.3928571428571,70.9642857142858,66.4642857142857
"6","SEPTA30013230","18","Eastbound","E01","uta",877s (~14.62 minutes),"08:57:13","09:11:50",2.4285754985755,23,557.51646228168,0s,225.916524216524s (~3.77 minutes),225.916524216524s (~3.77 minutes),19.480056980057,28.4002849002849,25.1481481481481,11.0161660924456,20.8069490895578,26,47.8803418803419,44.6282051282051
"7","SEPTA30013347","18","Westbound","W1","uta",864s (~14.4 minutes),"10:06:36","10:21:00",2.32857142857143,21,585.469387755103,0s,216.717857142857s (~3.61 minutes),216.717857142857s (~3.61 minutes),22.9642857142857,31.6785714285714,25.9642857142857,10.0408740566466,23.5612244897959,29.3214285714286,54.6428571428572,48.9285714285714
"8","SEPTA3002410","18","Westbound","W3","uta",565s (~9.42 minutes),"04:19:56","04:29:21",2.30571428571429,21,579.722448979592,0s,140.535714285714s (~2.34 minutes),140.535714285714s (~2.34 minutes),11.4155844155844,15.3030303030303,3.95454545454545,15.0613559912598,5.21253349824778,8.59090909090909,26.7186147186147,15.3701298701299
"9","SEPTA3002457","18","Eastbound","E01","uta",704s (~11.73 minutes),"05:19:29","05:31:13",2.44,23,560.139130434783,0s,152.641666666667s (~2.54 minutes),152.641666666667s (~2.54 minutes),14.4166666666667,17.0833333333334,15.5833333333333,14.1123123030581,14.8768115942029,18.5833333333333,31.5,30
"10","SEPTA3002606","18","Westbound","W1","uta",736s (~12.27 minutes),"06:24:23","06:36:39",2.33346153846154,21,586.698901098901,0s,199.296153846154s (~3.32 minutes),199.296153846154s (~3.32 minutes),19.0769230769231,26.9230769230769,19.5,11.5941887860783,18.0842490842491,26.8461538461538,46,38.5769230769231
"11","SEPTA3002715","18","Eastbound","E01","uta",965s (~16.08 minutes),"07:44:15","08:00:20",2.44703703703704,23,561.754589371981,0s,258.225925925926s (~4.3 minutes),258.225925925926s (~4.3 minutes),22.962962962963,47.074074074074,46.4074074074074,9.90308648920686,33.6135265700483,48.2222222222222,70.037037037037,69.3703703703704
"12","SEPTA3002830","18","Westbound","W1","uta",894s (~14.9 minutes),"08:52:52","09:07:46",2.32444444444444,21,584.431746031746,0s,203.092592592593s (~3.38 minutes),203.092592592593s (~3.38 minutes),19.2592592592592,28.1481481481481,24.2222222222222,9.69641842809323,22.021164021164,28.5185185185185,47.4074074074074,43.4814814814815
"13","SEPTA3002959","18","Eastbound","E01","uta",948s (~15.8 minutes),"10:25:52","10:41:40",2.45969230769231,23,564.659799331104,0s,255.956s (~4.27 minutes),255.956s (~4.27 minutes),25.9584615384615,37.1753846153846,28.8461538461538,10.4950624515087,25.0214046822742,30.9230769230769,63.1338461538461,54.8046153846153
"14","SEPTA30031048","18","Westbound","W1","uta",887s (~14.78 minutes),"11:10:31","11:25:18",2.36138146167558,21,593.718767507002,0s,253.008734402852s (~4.22 minutes),253.008734402852s (~4.22 minutes),33.1354723707665,34.4411764705882,23.1176470588235,9.81764747267248,25.1171377641966,27.7941176470588,67.5766488413547,56.25311942959
"15","SEPTA3003422","18","Eastbound","E06","uta",635s (~10.58 minutes),"04:42:40","04:53:15",2.44342857142857,23,560.926211180124,0s,172.917142857143s (~2.88 minutes),172.917142857143s (~2.88 minutes),9.74285714285715,22.1142857142857,22.2285714285714,14.8489214960642,15.1006211180124,24.1142857142857,31.8571428571429,31.9714285714285
"16","SEPTA3003534","18","Westbound","W1","uta",708s (~11.8 minutes),"05:54:36","06:06:24",2.31088235294118,21,581.021848739496,0s,181.808823529412s (~3.03 minutes),181.808823529412s (~3.03 minutes),12.9411764705882,33.7058823529412,29.4411764705882,11.6141683624737,20.7380952380952,33.7941176470588,46.6470588235294,42.3823529411764
"17","SEPTA3003649","18","Eastbound","E01","uta",862s (~14.37 minutes),"07:17:53","07:32:15",2.5180303030303,23,578.052173913043,0s,228.493939393939s (~3.81 minutes),228.493939393939s (~3.81 minutes),16.3977272727273,45.1780303030303,43.8484848484849,4.88558829995689,29.5950263504611,45.6875,61.5757575757576,60.2462121212122
"18","SEPTA3003805","18","Westbound","W1","uta",879s (~14.65 minutes),"08:31:40","08:46:19",2.32911764705882,21,585.606722689075,0s,184.573529411765s (~3.08 minutes),184.573529411765s (~3.08 minutes),14.9705882352941,23.4705882352941,21.3529411764706,9.65808431916399,18.0854341736695,23.8235294117647,38.4411764705883,36.3235294117647
"19","SEPTA3003931","18","Eastbound","E01","uta",923s (~15.38 minutes),"09:59:23","10:14:46",2.44571428571429,23,561.450931677019,0s,243.585714285714s (~4.06 minutes),243.585714285714s (~4.06 minutes),25.3142857142857,28.0571428571429,23.9428571428571,10.5374727835501,24.1540372670807,25.9428571428571,53.3714285714286,49.2571428571429
"20","SEPTA30041103","18","Westbound","W1","uta",872s (~14.53 minutes),"11:26:43","11:41:15",2.3240625,21,584.335714285714,0s,233.096875s (~3.88 minutes),233.096875s (~3.88 minutes),28,29.875,27.21875,10.0131188759615,27.4717261904762,30.21875,57.875,55.21875
"21","SEPTA3004439","18","Eastbound","E06","uta",657s (~10.95 minutes),"04:59:58","05:10:55",2.45290322580645,23,563.10126227209,0s,169.31935483871s (~2.82 minutes),169.31935483871s (~2.82 minutes),11.5483870967742,17.6774193548387,17.4516129032258,14.399439896876,13.8765778401122,21.3548387096774,29.2258064516129,29
"22","SEPTA3004547","18","Westbound","W1","uta",730s (~12.17 minutes),"06:05:08","06:17:18",2.35090909090909,21,591.085714285714,0s,203.157575757576s (~3.39 minutes),203.157575757576s (~3.39 minutes),17.0909090909091,28.9393939393939,20.4848484848485,11.9384481747266,17.0692640692641,29.2727272727273,46.030303030303,37.5757575757576
"23","SEPTA3004656","18","Eastbound","E01","uta",909s (~15.15 minutes),"07:25:39","07:40:48",2.44606060606061,23,561.530434782608,0s,230.309090909091s (~3.84 minutes),230.309090909091s (~3.84 minutes),15.1515151515152,41.7878787878788,41.1212121212121,10.8928208342867,27.832674571805,44.0606060606061,56.9393939393939,56.2727272727273
"24","SEPTA3004816","18","Westbound","W1","uta",878s (~14.63 minutes),"08:40:44","08:55:22",2.33545454545455,21,587.2,0s,163.115151515152s (~2.72 minutes),163.115151515152s (~2.72 minutes),12.7272727272727,22.6363636363637,21,9.84440801817479,16.992784992785,23.1212121212121,35.3636363636364,33.7272727272727
"25","SEPTA3004945","18","Eastbound","E01","uta",895s (~14.92 minutes),"10:11:37","10:26:32",2.55079211229947,23,585.573145780051,0s,246.612121212121s (~4.11 minutes),246.612121212121s (~4.11 minutes),25.6117424242424,34.3560049019608,26.969696969697,10.8937615364746,24.6187248120592,29.0625,59.9677473262032,52.5814393939394
"26","SEPTA3005449","18","Eastbound","E06","uta",653s (~10.88 minutes),"05:08:17","05:19:10",2.41652173913043,23,554.749338374291,0s,173.721739130435s (~2.9 minutes),173.721739130435s (~2.9 minutes),10.7826086956522,16.6521739130435,15.2173913043478,14.8254075064631,12.5897920604915,17.8695652173913,27.4347826086957,26
"27","SEPTA3005558","18","Westbound","W1","uta",684s (~11.4 minutes),"06:15:17","06:26:41",2.32428571428571,21,584.391836734694,0s,163.57619047619s (~2.73 minutes),163.57619047619s (~2.73 minutes),13.047619047619,22.6190476190476,19.7619047619048,12.4522898806128,16.6417233560091,26.1904761904762,35.6666666666666,32.8095238095238
"28","SEPTA3005705","18","Eastbound","E01","uta",934s (~15.57 minutes),"07:33:38","07:49:12",2.45555555555556,23,563.710144927536,0s,235.205555555556s (~3.92 minutes),235.205555555556s (~3.92 minutes),16.7777777777778,40.1111111111111,37.5555555555556,4.25943326343822,26.0990338164251,41.7222222222222,56.8888888888889,54.3333333333334
"29","SEPTA3005823","18","Westbound","W1","uta",878s (~14.63 minutes),"08:46:06","09:00:44",2.34083333333333,21,588.552380952381,0s,168.1625s (~2.8 minutes),168.1625s (~2.8 minutes),15.25,25.4583333333333,22.0416666666667,9.98955680706135,18.2718253968254,25.3333333333333,40.7083333333333,37.2916666666667
"30","SEPTA3006507","18","Eastbound","E06","uta",645s (~10.75 minutes),"05:28:38","05:39:23",2.42225296442688,23,556.065028355387,0s,132.998616600791s (~2.22 minutes),132.998616600791s (~2.22 minutes),4.87351778656127,13.2628458498024,15.4347826086957,14.195844635394,10.9261041416051,17.1739130434783,18.1363636363637,20.308300395257
"31","SEPTA3006612","18","Westbound","W2","uta",770s (~12.83 minutes),"06:31:05","06:43:55",2.42804347826087,21,610.47950310559,0s,177.196557971014s (~2.95 minutes),177.196557971014s (~2.95 minutes),11.7971014492754,20.6630434782608,15.2608695652174,11.4759088889357,12.760955831608,19.695652173913,32.4601449275362,27.0579710144928
"32","SEPTA3006713","18","Eastbound","E07XPI","uta",670s (~11.17 minutes),"07:39:01","07:50:11",1.92251461988304,15,676.72514619883,0s,163.513450292398s (~2.73 minutes),163.513450292398s (~2.73 minutes),12.0029239766082,40.4356725146199,28.2222222222222,12.2592886067046,9.79961013645224,28.2222222222222,52.4385964912281,40.2251461988304
"33","SEPTA3007515","18","Eastbound","E06","uta",655s (~10.92 minutes),"05:33:45","05:44:40",2.48941532258064,23,571.48316970547,0s,146.370967741935s (~2.44 minutes),146.370967741935s (~2.44 minutes),7.26209677419355,13.3145161290323,13,14.6758484099763,9.7765603085554,14.0625,20.5766129032258,20.2620967741935
"34","SEPTA3007617","18","Westbound","W1","uta",802s (~13.37 minutes),"06:36:06","06:49:28",2.35258064516129,21,591.50599078341,0s,176.874193548387s (~2.95 minutes),176.874193548387s (~2.95 minutes),14.0645161290323,22.5806451612903,18.7741935483871,10.7240254378657,16.4854070660522,23.4193548387097,36.6451612903225,32.8387096774194
"35","SEPTA3007726","18","Eastbound","E01","uta",997s (~16.62 minutes),"07:54:51","08:11:28",2.46266666666667,23,565.342608695652,0s,276.733333333333s (~4.61 minutes),276.733333333333s (~4.61 minutes),29.8333333333333,51.8,49.4,9.90769784294971,38.9173913043478,52.1,81.6333333333334,79.2333333333333
"36","SEPTA3007840","18","Westbound","W1","uta",921s (~15.35 minutes),"09:03:33","09:18:54",2.39852822580645,21,603.058525345622,0s,212.992842741936s (~3.55 minutes),212.992842741936s (~3.55 minutes),21.8558467741936,31.9102822580645,25.7741935483871,9.57553642888681,22.8709197388633,30.0645161290323,53.7661290322581,47.6300403225807
"37","SEPTA3008523","18","Eastbound","E06","uta",653s (~10.88 minutes),"05:43:04","05:53:57",2.44111111111111,23,560.394202898551,0s,168.42962962963s (~2.81 minutes),168.42962962963s (~2.81 minutes),12,19.8148148148148,18.9259259259259,14.6302184917318,14.890499194847,21.5555555555556,31.8148148148148,30.9259259259259
"38","SEPTA3008623","18","Westbound","W2","uta",800s (~13.33 minutes),"06:42:19","06:55:39",2.41646723646724,21,607.568905168905,0s,210.581196581197s (~3.51 minutes),210.581196581197s (~3.51 minutes),17.5213675213675,37.042735042735,30.2222222222222,11.3412496555447,23.8774928774929,37.5769230769231,54.5641025641025,47.7435897435897
"39","SEPTA3008723","18","Eastbound","E08X","uta",54s,"07:46:48","07:47:42",0.620712250712251,3,1092.45356125356,0s,50.3722222222222s,50.3722222222222s,0.296296296296296,24.9017094017094,22.3333333333333,26.6274650542147,14.3214624881291,22.3333333333333,25.1980056980057,22.6296296296296
"40","SEPTA30091014","18","Eastbound","E01","uta",948s (~15.8 minutes),"10:41:51","10:57:39",2.46411764705882,23,565.675703324808,0s,249.779411764706s (~4.16 minutes),249.779411764706s (~4.16 minutes),25.8823529411765,32.4117647058824,28.8823529411765,10.2503800608552,25.6355498721228,29.6470588235294,58.2941176470589,54.764705882353
"41","SEPTA30091133","18","Westbound","W1","uta",931s (~15.52 minutes),"11:56:30","12:12:01",2.32634453781513,21,584.909483793517,0s,240.685294117647s (~4.01 minutes),240.685294117647s (~4.01 minutes),29.5294117647059,32.3588235294118,26.1428571428571,9.75027517567458,26.6078031212485,28.6285714285714,61.8882352941177,55.672268907563
"42","SEPTA30091258","18","Eastbound","E01","uta",1045s (~17.42 minutes),"13:26:15","13:43:40",2.44233511586453,23,560.675191815857,0s,275.645098039216s (~4.59 minutes),275.645098039216s (~4.59 minutes),36.1666666666667,34.1488413547237,26.9411764705882,9.7785658589138,29.0956366736418,31.2058823529412,70.3155080213904,63.1078431372549
"43","SEPTA30091417","18","Westbound","W1","uta",914s (~15.23 minutes),"14:43:26","14:58:40",2.33323529411765,21,586.642016806723,0s,277.282352941176s (~4.62 minutes),277.282352941176s (~4.62 minutes),39.5,30.9117647058823,25.9117647058824,9.8613952711481,32.1316526610644,38.0294117647059,70.4117647058823,65.4117647058824
"44","SEPTA30091546","18","Eastbound","E01","uta",1053s (~17.55 minutes),"16:13:45","16:31:18",2.45085714285714,23,562.631552795031,0s,246.211428571429s (~4.1 minutes),246.211428571429s (~4.1 minutes),27.1428571428571,25.3714285714286,17.6285714285714,8.87937303234829,22,27.8285714285714,52.5142857142857,44.7714285714285
"45","SEPTA30091713","18","Westbound","W2","uta",912s (~15.2 minutes),"17:37:48","17:53:00",2.48731751336898,21,625.38268907563,0s,212.336597275274s (~3.54 minutes),212.336597275274s (~3.54 minutes),22.3317449707156,17.9966227400051,15.1875,10.5663191275593,18.7631575357416,22.4571428571429,40.3283677107207,37.5192449707156
"46","SEPTA3009529","18","Eastbound","E01","uta",673s (~11.22 minutes),"05:51:47","06:03:00",2.42105263157895,23,555.789473684211,0s,170.426315789474s (~2.84 minutes),170.426315789474s (~2.84 minutes),11.9473684210526,20,19.7894736842105,14.2280263846947,16.1647597254004,20.2631578947368,31.9473684210526,31.7368421052631
"47","SEPTA3009628","18","Westbound","W1","uta",767s (~12.78 minutes),"06:48:58","07:01:45",2.33787878787879,21,587.809523809524,0s,199.663636363636s (~3.33 minutes),199.663636363636s (~3.33 minutes),17,38.030303030303,33.969696969697,11.2339481075113,25.8427128427128,39.3030303030303,55.030303030303,50.969696969697
"48","SEPTA3009738","18","Eastbound","E01","uta",934s (~15.57 minutes),"08:07:23","08:22:57",2.4541935483871,23,563.39747545582,0s,249.509677419355s (~4.16 minutes),249.509677419355s (~4.16 minutes),22.8064516129033,43.0967741935484,42.0645161290323,10.8721570018203,31.6928471248247,43.4516129032258,65.9032258064517,64.8709677419356
"49","SEPTA3009850","18","Westbound","W1","uta",884s (~14.73 minutes),"09:13:24","09:28:08",2.32885714285714,21,585.541224489796,0s,195.9s (~3.26 minutes),195.9s (~3.26 minutes),18,25.4857142857142,21.2,9.7839006194771,19.134693877551,24.7428571428571,43.4857142857142,39.2
"50","SEPTA3010539","18","Eastbound","E06","uta",632s (~10.53 minutes),"05:58:15","06:08:47",2.43227272727273,23,558.365217391304,0s,166.981818181818s (~2.78 minutes),166.981818181818s (~2.78 minutes),11.1818181818182,19.3181818181818,16.9090909090909,14.6980634318006,13.0711462450593,19.0909090909091,30.5,28.0909090909091
